state_code,state,city,latitude,longitude
IN.16,Maharashtra,Dhārūr,18.82017,76.10937
IN.10,Haryana,Dhāruhera,28.20553,76.79691
IN.35,Madhya Pradesh,Dhārni,21.55333,76.88972
IN.11,Himachal Pradesh,Dharamsala,32.22006,76.32013
IN.23,Punjab,Dharmkot,30.94559,75.23239
IN.02,Andhra Pradesh,Dharmavaram,14.41435,77.72035
IN.26,Tripura,Dharmaragar,24.34911,92.13139
IN.25,Tamil Nadu,Dharmapuri,12.1277,78.15794
IN.26,Tripura,Dharmanagar,24.36667,92.16667
IN.13,Kerala,Dharmadam,11.77538,75.46459
IN.16,Maharashtra,Dharmābād,18.89116,77.8494
IN.23,Punjab,Dhāriwāl,31.95616,75.32386
IN.09,Gujarat,Dhāri,21.32855,71.02645
IN.39,Uttarakhand,Dhārchula,29.84707,80.51951
IN.16,Maharashtra,Dhārāvi,19.05,72.86667
IN.25,Tamil Nadu,Dharapuram,10.73828,77.53223
IN.16,Maharashtra,Dharangaon,21.01187,75.27407
IN.35,Madhya Pradesh,Dharampuri,22.14951,75.34439
IN.09,Gujarat,Dharampur,20.53693,73.17368
IN.35,Madhya Pradesh,Dhār,22.59373,75.29774
